Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.679,0.74,0.877,0.457,0.073,315,343.86306666666667
0.071,0.69,0.787,0.386,0.762,545,582.2750666666666
0.589,0.48,0.653,0.689,0.597,692,728.3793999999999
0.292,0.863,0.882,0.288,0.795,480,510.6784666666666
0.351,0.781,0.358,0.497,0.28,110,127.85
0.302,0.68,0.751,0.089,0.921,161,190.58666666666667
0.12,0.553,0.011,0.429,0.183,394,405.66999999999996
0.065,0.596,0.578,0.236,0.722,381,407.156
0.62,0.464,0.38,0.27,0.488,312,328.96853333333337
0.392,0.983,0.581,0.418,0.679,436,467.7824
0.01,0.175,0.685,0.823,0.633,253,286.7136
0.055,0.272,0.648,0.921,0.604,676,710.5221333333333
0.851,0.656,0.997,0.472,0.586,414,439.2624
0.723,0.948,0.068,0.34,0.24,502,523.8908666666666
0.162,0.267,0.328,0.766,0.226,681,702.9296
0.177,0.909,0.846,0.865,0.495,471,504.4976
0.831,0.331,0.033,0.842,0.495,96,118.80066666666666
0.14,0.107,0.044,0.422,0.135,382,391.30673333333334
0.729,0.38,0.78,0.228,0.329,151,178.24693333333332
0.812,0.122,0.881,0.749,0.473,86,116.804
0.161,0.241,0.332,0.62,0.624,467,486.304
0.453,0.152,0.342,0.725,0.608,254,273.0500666666666
0.024,0.687,0.046,0.006,0.011,205,209.522
0.679,0.996,0.059,0.364,0.991,655,680.3079333333333
0.178,0.106,0.236,0.094,0.665,685,699.0770666666666
0.762,0.175,0.561,0.848,0.55,145,173.5984
0.974,0.707,0.044,0.217,0.527,308,330.8874
0.125,0.203,0.627,0.04,0.021,694,702.9233333333333
0.551,0.574,0.923,0.828,0.03,651,681.134
0.587,0.793,0.726,0.957,0.303,535,566.6670666666666
0.593,0.638,0.372,0.265,0.618,476,500.73466666666667
0.394,0.852,0.406,0.654,0.553,333,368.3678
0.997,0.676,0.603,0.04,0.784,480,505.8124
0.168,0.423,0.858,0.399,0.43,236,259.95773333333335
0.544,0.649,0.258,0.794,0.954,291,321.2777333333333
0.44,0.133,0.995,0.444,0.55,116,147.2246
0.219,0.164,0.234,0.882,0.699,716,750.1909333333333
0.54,0.676,0.595,0.265,0.213,70,93.208
0.2,0.338,0.312,0.563,0.835,519,549.2096666666667
0.748,0.384,0.988,0.538,0.473,448,481.5888
0.747,0.844,0.727,0.934,0.419,233,269.2162666666667
0.636,0.992,0.273,0.297,0.678,64,91.2578
0.376,0.185,0.657,0.104,0.181,367,380.72920000000005
0.009,0.399,0.109,0.801,0.313,317,334.709
0.559,0.113,0.565,0.481,0.77,339,367.6138666666667
0.828,0.403,0.888,0.702,0.028,692,716.6364
0.142,0.59,0.352,0.484,0.13,689,705.8776
